IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
45.62.127.240,443,TRUE,LAX,北美洲,美国洛杉矶,141 ms,2702 kB/s
74.121.148.216,2443,TRUE,EWR,北美洲,美国纽瓦克,276 ms,1408 kB/s
216.24.178.29,443,TRUE,LAX,北美洲,美国洛杉矶,145 ms,419 kB/s
104.224.158.169,11008,TRUE,LAX,北美洲,美国洛杉矶,147 ms,235 kB/s
104.194.84.22,443,TRUE,LAX,北美洲,美国洛杉矶,134 ms,202 kB/s
65.49.232.134,1443,TRUE,SEA,北美洲,美国西雅图,286 ms,43 kB/s
74.211.106.154,58000,TRUE,LAX,北美洲,美国洛杉矶,147 ms,0 kB/s
45.62.119.250,10247,TRUE,LAX,北美洲,美国洛杉矶,144 ms,0 kB/s
74.82.194.119,4431,TRUE,NRT,亚太,日本东京,47 ms,0 kB/s
138.128.195.35,5443,TRUE,SJC,北美洲,美国圣何塞,145 ms,0 kB/s
138.128.222.207,443,TRUE,LAX,北美洲,美国洛杉矶,175 ms,0 kB/s
74.121.151.220,443,TRUE,EWR,北美洲,美国纽瓦克,267 ms,0 kB/s
74.121.149.15,443,TRUE,EWR,北美洲,美国纽瓦克,259 ms,0 kB/s
144.168.61.145,443,TRUE,LAX,北美洲,美国洛杉矶,145 ms,7867 kB/s
174.137.59.73,443,TRUE,SJC,北美洲,美国圣何塞,210 ms,6879 kB/s
172.96.193.10,443,TRUE,LAX,北美洲,美国洛杉矶,204 ms,0 kB/s
